Barris;Població;1;2;3;4;5;6;7;8;9;10
BARCELONA            ;1.060.350  ;6,7  ;6,6  ;6,7  ;6,5  ;6,4  ;6,2  ;6,3  ;6,5  ;6,4  ;6,5  
1     1. el Raval  ;35.577  ;9,3  ;9,4  ;9,3  ;8,9  ;8,5  ;8,2  ;8,3  ;8,3  ;8,2  ;8,4  
1     2. el Barri Gòtic  ;13.388  ;6,7  ;6,5  ;6,4  ;6,3  ;6,4  ;6,1  ;6,1  ;6,1  ;6,5  ;6,6  
1     3. la Barceloneta  ;10.928  ;9,1  ;8,9  ;9,2  ;8,7  ;8,3  ;8,1  ;8,3  ;8,3  ;8,3  ;8,6  
1     4. Sant Pere, Santa Caterina i la Ribera  ;17.084  ;8,0  ;7,9  ;8,1  ;7,7  ;7,3  ;7,2  ;7,3  ;7,4  ;7,3  ;7,6  
2     5. el Fort Pienc  ;21.304  ;5,7  ;5,6  ;5,6  ;5,5  ;5,4  ;5,2  ;5,3  ;5,4  ;5,4  ;5,5  
2     6. la Sagrada Família  ;34.381  ;5,6  ;5,6  ;5,6  ;5,5  ;5,4  ;5,2  ;5,4  ;5,6  ;5,6  ;5,6  
2     7. la Dreta de l'Eixample  ;28.960  ;4,4  ;4,4  ;4,4  ;4,3  ;4,3  ;4,1  ;4,2  ;4,3  ;4,2  ;4,3  
2     8. l'Antiga Esquerra de l'Eixample  ;28.563  ;5,1  ;5,1  ;5,0  ;5,0  ;4,8  ;4,6  ;4,7  ;4,8  ;4,7  ;4,8  
2     9. la Nova Esquerra de l'Eixample  ;38.127  ;5,6  ;5,6  ;5,6  ;5,4  ;5,3  ;5,2  ;5,2  ;5,5  ;5,3  ;5,4  
2     10. Sant Antoni  ;25.468  ;6,1  ;6,1  ;6,0  ;5,8  ;5,8  ;5,7  ;5,7  ;6,0  ;5,8  ;5,9  
3     11. el Poble Sec - AEI Parc Montjuïc  ;28.154  ;7,7  ;7,7  ;7,8  ;7,4  ;7,3  ;7,0  ;7,2  ;7,2  ;7,2  ;7,3  
3     12. la Marina del Prat Vermell - AEI Zona Franca  ;784  ;12,6  ;12,6  ;12,7  ;12,3  ;12,5  ;12,3  ;12,1  ;12,0  ;11,6  ;12,1  
3     13. la Marina de Port  ;20.134  ;8,3  ;8,3  ;8,3  ;8,1  ;7,8  ;7,6  ;7,8  ;7,8  ;7,9  ;7,8  
3     14. la Font de la Guatlla  ;6.837  ;8,0  ;8,0  ;8,1  ;7,7  ;7,6  ;7,3  ;7,5  ;7,5  ;7,5  ;7,5  
3     15. Hostafrancs  ;10.997  ;6,2  ;6,2  ;6,5  ;6,3  ;6,2  ;5,9  ;6,0  ;6,2  ;6,2  ;6,3  
3     16. la Bordeta  ;12.230  ;6,5  ;6,6  ;6,8  ;6,7  ;6,5  ;6,2  ;6,3  ;6,6  ;6,6  ;6,7  
3     17. Sants - Badal  ;15.846  ;5,6  ;5,5  ;5,5  ;5,4  ;5,3  ;5,1  ;5,1  ;5,3  ;5,2  ;5,3  
