Barris;Població;1;2;3;4;5;6;7;8;9;10;11;12
BARCELONA            ;1.057.358  ;7,5  ;7,5  ;7,5  ;7,3  ;7,0  ;6,8  ;6,7  ;6,9  ;6,8  ;6,9  ;7,1  ;7,0  
1     1. el Raval  ;35.744  ;10,0  ;9,9  ;10,1  ;9,6  ;9,6  ;9,3  ;9,0  ;8,9  ;9,0  ;9,3  ;9,8  ;9,7  
1     2. el Barri Gòtic  ;12.570  ;7,6  ;7,3  ;7,3  ;6,9  ;6,7  ;6,5  ;6,5  ;6,6  ;6,6  ;7,1  ;7,2  ;7,3  
1     3. la Barceloneta  ;10.968  ;9,7  ;9,5  ;9,5  ;9,2  ;8,9  ;8,8  ;8,8  ;8,9  ;8,8  ;9,2  ;9,6  ;9,4  
1     4. Sant Pere, Santa Caterina i la Ribera  ;17.293  ;8,5  ;8,3  ;8,3  ;8,0  ;7,8  ;7,7  ;7,7  ;7,8  ;7,7  ;8,0  ;8,4  ;8,2  
2     5. el Fort Pienc  ;21.326  ;6,4  ;6,3  ;6,3  ;6,1  ;5,9  ;5,8  ;5,9  ;6,0  ;5,8  ;5,8  ;5,9  ;5,9  
2     6. la Sagrada Família  ;34.357  ;6,5  ;6,5  ;6,4  ;6,3  ;6,0  ;5,8  ;5,9  ;6,0  ;5,8  ;5,8  ;6,0  ;5,9  
2     7. la Dreta de l'Eixample  ;29.162  ;5,0  ;5,0  ;4,9  ;4,7  ;4,5  ;4,4  ;4,5  ;4,6  ;4,5  ;4,4  ;4,6  ;4,6  
2     8. l'Antiga Esquerra de l'Eixample  ;28.435  ;5,5  ;5,5  ;5,7  ;5,4  ;5,2  ;5,1  ;5,0  ;5,2  ;5,1  ;5,0  ;5,2  ;5,1  
2     9. la Nova Esquerra de l'Eixample  ;38.310  ;6,2  ;6,1  ;6,1  ;6,0  ;5,8  ;5,6  ;5,6  ;5,7  ;5,7  ;5,7  ;5,8  ;5,7  
2     10. Sant Antoni  ;25.525  ;6,8  ;6,7  ;6,7  ;6,5  ;6,2  ;6,0  ;6,0  ;6,2  ;6,2  ;6,3  ;6,4  ;6,3  
3     11. el Poble Sec - AEI Parc Montjuïc  ;28.466  ;8,8  ;8,7  ;8,6  ;8,3  ;8,0  ;7,6  ;7,7  ;7,8  ;7,6  ;7,8  ;8,1  ;8,1  
3     12. la Marina del Prat Vermell - AEI Zona Franca  ;780  ;16,1  ;15,5  ;16,2  ;15,5  ;14,9  ;14,5  ;13,5  ;13,5  ;13,5  ;13,7  ;14,8  ;14,7  
3     13. la Marina de Port  ;20.095  ;9,2  ;9,1  ;9,4  ;9,1  ;8,8  ;8,4  ;8,4  ;8,4  ;8,2  ;8,4  ;8,7  ;8,6  
3     14. la Font de la Guatlla  ;6.928  ;9,1  ;9,0  ;9,0  ;8,6  ;8,3  ;7,9  ;8,0  ;8,1  ;7,9  ;8,1  ;8,4  ;8,4  
3     15. Hostafrancs  ;10.996  ;7,0  ;7,0  ;7,0  ;6,8  ;6,5  ;6,3  ;6,3  ;6,4  ;6,3  ;6,4  ;6,5  ;6,5  
3     16. la Bordeta  ;12.099  ;7,4  ;7,5  ;7,5  ;7,2  ;6,9  ;6,7  ;6,7  ;6,8  ;6,7  ;6,8  ;7,0  ;6,9  
3     17. Sants - Badal  ;15.888  ;6,1  ;6,0  ;6,0  ;5,8  ;5,7  ;5,5  ;5,4  ;5,6  ;5,4  ;5,5  ;5,6  ;5,5  
3     18. Sants  ;27.428  ;6,7  ;6,7  ;6,7  ;6,5  ;6,3  ;6,1  ;6,0  ;6,2  ;6,0  ;6,1  ;6,2  ;6,2  
4     19. les Corts  ;28.485  ;6,5  ;6,5  ;6,5  ;6,4  ;6,2  ;6,0  ;6,0  ;6,1  ;6,0  ;6,0  ;6,1  ;6,1  
4     20. la Maternitat i Sant Ramon  ;14.686  ;6,5  ;6,4  ;6,4  ;6,2  ;6,1  ;5,9  ;5,8  ;6,0  ;5,8  ;5,9  ;6,0  ;5,9  
4     21. Pedralbes  ;7.084  ;3,2  ;3,2  ;3,2  ;3,1  ;3,1  ;2,9  ;3,1  ;3,1  ;2,8  ;2,8  ;3,0  ;3,1  
5     22. Vallvidrera, el Tibidabo i les Planes  ;3.082  ;3,0  ;3,0  ;3,0  ;2,9  ;2,9  ;2,8  ;2,9  ;2,9  ;2,8  ;2,9  ;2,9  ;2,9  
5     23. Sarrià  ;15.018  ;3,3  ;3,2  ;3,2  ;3,1  ;3,1  ;3,0  ;3,1  ;3,1  ;2,9  ;2,9  ;3,1  ;3,1  
5     24. les Tres Torres  ;10.052  ;3,6  ;3,5  ;3,6  ;3,5  ;3,4  ;3,4  ;3,4  ;3,4  ;3,3  ;3,4  ;3,5  ;3,5  
5     25. Sant Gervasi - la Bonanova  ;15.690  ;3,9  ;3,9  ;3,8  ;3,8  ;3,7  ;3,5  ;3,7  ;3,7  ;3,7  ;3,6  ;3,8  ;3,8  
5     26. Sant Gervasi - Galvany  ;29.542  ;3,9  ;3,8  ;3,8  ;3,7  ;3,7  ;3,5  ;3,5  ;3,6  ;3,5  ;3,6  ;3,6  ;3,6  
5     27. el Putxet i el Farró  ;18.883  ;5,6  ;5,5  ;5,4  ;5,3  ;5,2  ;4,9  ;5,0  ;5,1  ;4,9  ;5,0  ;5,0  ;5,1  
6     28. Vallcarca i els Penitents  ;9.744  ;7,0  ;6,8  ;6,8  ;6,7  ;6,4  ;6,2  ;6,1  ;6,3  ;6,2  ;6,2  ;6,2  ;6,3  
6     29. el Coll  ;4.839  ;6,0  ;5,7  ;5,7  ;5,6  ;5,4  ;5,3  ;5,1  ;5,3  ;5,2  ;5,2  ;5,2  ;5,3  
6     30. la Salut  ;8.170  ;6,8  ;6,7  ;6,7  ;6,4  ;6,3  ;6,2  ;6,3  ;6,5  ;6,2  ;6,4  ;6,4  ;6,4  
6     31. la Vila de Gràcia  ;34.792  ;6,3  ;6,3  ;6,3  ;6,1  ;6,0  ;5,8  ;5,8  ;6,0  ;5,8  ;5,8  ;6,0  ;6,0  
6     32. el Camp d'en Grassot i Gràcia Nova  ;22.017  ;6,5  ;6,5  ;6,4  ;6,2  ;6,0  ;5,8  ;5,8  ;6,0  ;5,8  ;5,9  ;6,0  ;6,0  
7     33. el Baix Guinardó  ;16.435  ;6,7  ;6,7  ;6,7  ;6,5  ;6,3  ;6,0  ;6,1  ;6,3  ;6,0  ;6,1  ;6,2  ;6,2  
7     34. Can Baró  ;5.811  ;6,8  ;6,7  ;6,7  ;6,5  ;6,4  ;6,3  ;6,4  ;6,6  ;6,2  ;6,4  ;6,5  ;6,5  
7     35. el Guinardó  ;23.398  ;7,7  ;7,6  ;7,5  ;7,2  ;7,0  ;6,8  ;6,8  ;7,0  ;6,9  ;6,9  ;7,1  ;6,9  
7     36. la Font d'en Fargues  ;5.723  ;9,4  ;9,3  ;9,3  ;9,2  ;8,8  ;8,5  ;8,5  ;8,7  ;8,7  ;8,9  ;9,0  ;8,8  
7     37. el Carmel  ;20.018  ;9,2  ;9,1  ;9,1  ;8,9  ;8,6  ;8,3  ;8,3  ;8,5  ;8,4  ;8,7  ;8,7  ;8,6  
7     38. la Teixonera  ;7.535  ;7,4  ;7,4  ;7,4  ;7,2  ;6,9  ;6,7  ;6,6  ;6,8  ;6,6  ;6,9  ;6,9  ;6,9  
7     39. Sant Genís dels Agudells  ;4.202  ;8,0  ;8,0  ;8,0  ;7,8  ;7,5  ;7,2  ;7,2  ;7,4  ;7,1  ;7,4  ;7,5  ;7,4  
7     40. Montbau  ;2.976  ;8,2  ;8,2  ;8,1  ;8,0  ;7,7  ;7,4  ;7,3  ;7,5  ;7,3  ;7,6  ;7,6  ;7,6  
7     41. la Vall d'Hebron  ;3.534  ;7,4  ;7,4  ;7,3  ;7,2  ;6,9  ;6,6  ;6,6  ;6,8  ;6,5  ;6,8  ;6,8  ;6,8  
7     42. la Clota  ;431  ;4,2  ;4,2  ;4,2  ;4,1  ;3,9  ;3,8  ;3,8  ;3,9  ;3,7  ;3,9  ;3,9  ;3,9  
7     43. Horta  ;16.402  ;9,3  ;9,4  ;9,4  ;9,1  ;8,9  ;8,4  ;8,4  ;8,5  ;8,5  ;8,7  ;8,9  ;8,7  
8     44. Vilapicina i la Torre Llobeta  ;15.960  ;8,9  ;9,0  ;9,0  ;8,8  ;8,5  ;8,1  ;8,0  ;8,0  ;8,0  ;8,2  ;8,4  ;8,2  
8     45. Porta  ;15.395  ;9,1  ;9,2  ;9,1  ;8,9  ;8,6  ;8,3  ;8,1  ;8,1  ;8,2  ;8,2  ;8,4  ;8,2  
